,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
795,65.9,0.43,0.6020,0.1398,0.0999,1.230,2.870,4.209,916.846,0.324,18.722,2.082,0.65,127777.,27000
796,70.7,0.46,0.6287,0.1321,0.0968,1.192,2.781,3.976,888.531,0.314,17.685,2.030,0.65,128081.,27000
797,75.4,0.49,0.6527,0.1242,0.0935,1.151,2.686,3.737,858.000,0.303,16.621,1.975,0.65,128405.,27000
798,80.1,0.52,0.6733,0.1160,0.0899,1.107,2.584,3.490,825.515,0.292,15.525,1.918,0.65,128750.,27000
799,84.8,0.55,0.6913,0.1076,0.0860,1.059,2.473,3.238,789.882,0.279,14.404,1.860,0.65,129114.,27000
800,89.5,0.58,0.7064,0.0990,0.0818,1.007,2.350,2.980,750.812,0.266,13.256,1.800,0.65,129498.,27000
801,94.2,0.61,0.7184,0.0902,0.0771,0.949,2.216,2.714,707.911,0.250,12.074,1.739,0.65,129901.,27000
802,98.9,0.64,0.7266,0.0812,0.0720,0.887,2.070,2.443,661.345,0.234,10.865,1.675,0.66,130324.,27000
803,103.6,0.68,0.7302,0.0720,0.0666,0.820,1.913,2.166,611.219,0.216,9.634,1.607,0.66,130766.,27000
804,108.3,0.71,0.7277,0.0625,0.0607,0.747,1.743,1.881,556.851,0.197,8.366,1.532,0.66,131227.,27000
805,113.1,0.74,0.7163,0.0528,0.0543,0.669,1.562,1.589,498.852,0.176,7.070,1.445,0.66,131707.,27000
806,117.8,0.77,0.6910,0.0429,0.0476,0.587,1.369,1.291,437.420,0.155,5.741,1.338,0.66,132205.,27000
807,122.5,0.80,0.6414,0.0326,0.0406,0.499,1.166,0.981,372.421,0.132,4.363,1.195,0.66,132722.,27000
808,127.2,0.83,0.5464,0.0220,0.0334,0.412,0.961,0.663,307.036,0.109,2.950,0.980,0.66,133256.,27000
809,131.9,0.86,0.3668,0.0111,0.0260,0.321,0.748,0.334,239.086,0.085,1.487,0.634,0.67,133809.,27000
810,136.6,0.89,-0.0025,-0.0001,0.0182,0.225,0.524,-0.002,167.482,0.059,-0.007,-0.004,0.67,134379.,27000
811,0.0,0.00,0.0000,0.2082,0.1052,1.445,3.253,6.740,1077.633,0.368,29.981,2.837,0.67,130357.,28000
812,4.9,0.03,0.0594,0.2079,0.1076,1.477,3.325,6.730,1101.407,0.376,29.934,2.771,0.67,130368.,28000
813,9.8,0.06,0.1157,0.2071,0.1099,1.510,3.398,6.702,1125.672,0.384,29.810,2.700,0.67,130402.,28000
814,14.7,0.09,0.1692,0.2044,0.1113,1.528,3.440,6.615,1139.623,0.389,29.423,2.633,0.67,130457.,28000
