,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
427,12.4,0.10,0.2320,0.0564,0.0236,0.378,1.589,2.655,282.083,0.180,11.808,4.268,0.54,136837.,15000
428,14.5,0.11,0.2671,0.0554,0.0235,0.376,1.580,2.605,280.458,0.179,11.586,4.212,0.54,136879.,15000
429,16.5,0.13,0.3011,0.0542,0.0233,0.373,1.568,2.549,278.315,0.177,11.339,4.154,0.54,136927.,15000
430,18.6,0.15,0.3338,0.0529,0.0231,0.370,1.553,2.487,275.565,0.175,11.063,4.094,0.54,136982.,15000
431,20.7,0.16,0.3652,0.0514,0.0228,0.365,1.534,2.419,272.196,0.173,10.760,4.031,0.54,137043.,15000
432,22.7,0.18,0.3952,0.0499,0.0224,0.360,1.511,2.345,268.165,0.171,10.429,3.966,0.54,137110.,15000
433,24.8,0.19,0.4237,0.0481,0.0220,0.353,1.485,2.264,263.464,0.168,10.070,3.898,0.54,137184.,15000
434,26.9,0.21,0.4507,0.0463,0.0216,0.346,1.453,2.176,257.853,0.164,9.678,3.827,0.54,137264.,15000
435,28.9,0.23,0.4757,0.0442,0.0210,0.337,1.417,2.079,251.427,0.160,9.248,3.751,0.54,137351.,15000
436,31.0,0.24,0.4983,0.0419,0.0204,0.327,1.373,1.970,243.623,0.155,8.761,3.667,0.54,137444.,15000
437,33.1,0.26,0.5182,0.0393,0.0196,0.314,1.320,1.847,234.349,0.149,8.216,3.575,0.54,137543.,15000
438,35.1,0.27,0.5356,0.0366,0.0188,0.301,1.265,1.722,224.485,0.143,7.657,3.478,0.54,137648.,15000
439,37.2,0.29,0.5499,0.0339,0.0179,0.287,1.207,1.593,214.272,0.136,7.087,3.373,0.54,137760.,15000
440,39.3,0.31,0.5617,0.0311,0.0170,0.272,1.145,1.462,203.149,0.129,6.502,3.264,0.54,137878.,15000
441,41.3,0.32,0.5705,0.0282,0.0160,0.256,1.077,1.327,191.211,0.122,5.904,3.149,0.54,138002.,15000
442,43.4,0.34,0.5754,0.0253,0.0149,0.239,1.006,1.190,178.488,0.114,5.294,3.025,0.54,138133.,15000
443,45.5,0.36,0.5755,0.0223,0.0138,0.221,0.929,1.050,164.944,0.105,4.671,2.888,0.54,138270.,15000
444,47.5,0.37,0.5687,0.0193,0.0126,0.202,0.850,0.907,150.776,0.096,4.036,2.730,0.54,138413.,15000
445,49.6,0.39,0.5505,0.0162,0.0114,0.183,0.769,0.762,136.441,0.087,3.388,2.532,0.54,138562.,15000
446,51.7,0.40,0.5166,0.0130,0.0102,0.164,0.687,0.613,121.944,0.078,2.728,2.281,0.54,138718.,15000
447,53.7,0.42,0.4617,0.0098,0.0090,0.144,0.604,0.463,107.150,0.068,2.060,1.960,0.54,138879.,15000
448,55.8,0.44,0.3770,0.0066,0.0077,0.123,0.517,0.312,91.744,0.058,1.387,1.541,0.54,139047.,15000
449,57.9,0.45,0.2385,0.0033,0.0063,0.102,0.427,0.157,75.730,0.048,0.698,0.940,0.54,139221.,15000
450,59.9,0.47,-0.0015,0.0000,0.0049,0.079,0.333,-0.001,59.033,0.038,-0.003,-0.006,0.54,139401.,15000
451,0.0,0.00,0.0000,0.0609,0.0235,0.458,1.802,3.257,341.189,0.204,14.485,4.329,0.57,145836.,16000
452,2.2,0.02,0.0414,0.0605,0.0236,0.460,1.811,3.235,342.885,0.205,14.389,4.279,0.57,145840.,16000
453,4.4,0.03,0.0817,0.0600,0.0237,0.462,1.818,3.209,344.239,0.205,14.272,4.228,0.57,145850.,16000
454,6.6,0.05,0.1211,0.0594,0.0238,0.463,1.824,3.177,345.214,0.206,14.131,4.174,0.57,145867.,16000
455,8.8,0.06,0.1593,0.0587,0.0238,0.464,1.826,3.139,345.666,0.206,13.963,4.119,0.57,145891.,16000
456,11.0,0.08,0.1964,0.0578,0.0238,0.463,1.825,3.095,345.524,0.206,13.766,4.063,0.57,145922.,16000
457,13.2,0.10,0.2323,0.0569,0.0238,0.462,1.821,3.044,344.760,0.206,13.541,4.005,0.57,145960.,16000
458,15.4,0.11,0.2671,0.0558,0.0237,0.460,1.813,2.987,343.257,0.205,13.285,3.946,0.57,146005.,16000
