,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
180,19.1,0.48,0.0083,0.0001,0.0077,0.002,0.015,0.000,1.228,0.002,0.001,0.099,0.17,30198.,7000
181,0.0,0.00,0.0000,0.0678,0.0296,0.009,0.075,0.179,7.071,0.008,0.796,11.484,0.19,33815.,8000
182,0.8,0.02,0.0381,0.0675,0.0296,0.009,0.075,0.178,7.075,0.008,0.793,11.433,0.19,33816.,8000
183,1.5,0.03,0.0757,0.0672,0.0297,0.010,0.075,0.178,7.084,0.008,0.790,11.371,0.19,33818.,8000
184,2.3,0.05,0.1130,0.0668,0.0297,0.009,0.075,0.177,7.081,0.008,0.785,11.311,0.19,33823.,8000
185,3.0,0.07,0.1495,0.0661,0.0295,0.009,0.075,0.175,7.057,0.008,0.777,11.228,0.19,33829.,8000
186,3.8,0.08,0.1854,0.0652,0.0294,0.009,0.074,0.172,7.019,0.008,0.767,11.138,0.19,33836.,8000
187,4.6,0.10,0.2205,0.0641,0.0291,0.009,0.073,0.169,6.955,0.008,0.753,11.038,0.19,33846.,8000
188,5.3,0.12,0.2543,0.0625,0.0288,0.009,0.073,0.165,6.870,0.008,0.735,10.910,0.19,33857.,8000
189,6.1,0.13,0.2869,0.0608,0.0283,0.009,0.071,0.161,6.766,0.008,0.715,10.769,0.19,33869.,8000
190,6.8,0.15,0.3180,0.0588,0.0278,0.009,0.070,0.155,6.642,0.008,0.691,10.610,0.19,33884.,8000
191,7.6,0.17,0.3471,0.0564,0.0272,0.009,0.069,0.149,6.485,0.008,0.663,10.423,0.19,33900.,8000
192,8.4,0.18,0.3742,0.0538,0.0264,0.008,0.067,0.142,6.315,0.008,0.633,10.217,0.19,33918.,8000
193,9.1,0.20,0.3990,0.0513,0.0258,0.008,0.065,0.135,6.152,0.007,0.602,9.986,0.19,33937.,8000
194,9.9,0.22,0.4220,0.0487,0.0250,0.008,0.063,0.129,5.982,0.007,0.572,9.749,0.19,33958.,8000
195,10.6,0.23,0.4424,0.0460,0.0243,0.008,0.061,0.121,5.804,0.007,0.540,9.490,0.19,33981.,8000
196,11.4,0.25,0.4608,0.0434,0.0236,0.008,0.060,0.115,5.638,0.007,0.510,9.226,0.19,34006.,8000
197,12.2,0.27,0.4769,0.0405,0.0227,0.007,0.057,0.107,5.425,0.006,0.476,8.952,0.19,34032.,8000
198,12.9,0.28,0.4913,0.0379,0.0219,0.007,0.055,0.100,5.238,0.006,0.446,8.679,0.19,34060.,8000
199,13.7,0.30,0.5023,0.0349,0.0209,0.007,0.053,0.092,4.988,0.006,0.410,8.380,0.19,34089.,8000
200,14.4,0.32,0.5108,0.0320,0.0199,0.006,0.050,0.085,4.749,0.006,0.376,8.074,0.19,34121.,8000
201,15.2,0.33,0.5146,0.0288,0.0187,0.006,0.047,0.076,4.471,0.005,0.339,7.728,0.19,34153.,8000
202,15.9,0.35,0.5168,0.0262,0.0178,0.006,0.045,0.069,4.242,0.005,0.307,7.391,0.19,34188.,8000
203,16.7,0.37,0.5116,0.0230,0.0165,0.005,0.042,0.061,3.943,0.005,0.270,6.984,0.19,34224.,8000
204,17.5,0.38,0.4963,0.0195,0.0151,0.005,0.038,0.052,3.611,0.004,0.230,6.480,0.19,34262.,8000
205,18.2,0.40,0.4730,0.0163,0.0138,0.004,0.035,0.043,3.296,0.004,0.191,5.919,0.19,34301.,8000
206,19.0,0.42,0.4391,0.0133,0.0127,0.004,0.032,0.035,3.023,0.004,0.156,5.275,0.19,34342.,8000
207,19.7,0.43,0.3845,0.0102,0.0115,0.004,0.029,0.027,2.749,0.003,0.120,4.442,0.19,34385.,8000
208,20.5,0.45,0.3032,0.0069,0.0103,0.003,0.026,0.018,2.468,0.003,0.082,3.372,0.19,34429.,8000
