,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
156,9.2,0.18,0.2804,0.2035,0.1303,0.134,1.405,1.531,99.727,0.159,6.810,6.963,0.21,63634.,6000
157,11.0,0.22,0.3263,0.2001,0.1322,0.136,1.424,1.505,101.113,0.161,6.695,6.752,0.21,63715.,6000
158,12.9,0.25,0.3692,0.1960,0.1336,0.137,1.439,1.475,102.185,0.163,6.561,6.547,0.21,63810.,6000
159,14.7,0.29,0.4090,0.1915,0.1346,0.138,1.450,1.441,102.963,0.164,6.409,6.347,0.22,63920.,6000
160,16.5,0.32,0.4459,0.1864,0.1352,0.139,1.457,1.402,103.405,0.165,6.238,6.151,0.22,64045.,6000
161,18.4,0.36,0.4798,0.1807,0.1353,0.139,1.458,1.359,103.512,0.165,6.046,5.956,0.22,64183.,6000
162,20.2,0.40,0.5106,0.1743,0.1349,0.138,1.454,1.311,103.200,0.164,5.833,5.763,0.22,64336.,6000
163,22.0,0.43,0.5388,0.1671,0.1337,0.137,1.441,1.257,102.319,0.163,5.593,5.574,0.22,64503.,6000
164,23.9,0.47,0.5644,0.1591,0.1316,0.135,1.419,1.197,100.706,0.160,5.324,5.390,0.22,64684.,6000
165,25.7,0.50,0.5873,0.1507,0.1291,0.132,1.391,1.134,98.737,0.157,5.043,5.208,0.22,64880.,6000
166,27.6,0.54,0.6074,0.1421,0.1261,0.129,1.359,1.069,96.459,0.154,4.756,5.027,0.22,65088.,6000
167,29.4,0.57,0.6246,0.1333,0.1227,0.126,1.322,1.003,93.855,0.149,4.461,4.846,0.22,65311.,6000
168,31.2,0.61,0.6393,0.1243,0.1187,0.122,1.279,0.935,90.825,0.145,4.158,4.669,0.22,65547.,6000
169,33.1,0.65,0.6540,0.1150,0.1138,0.117,1.226,0.866,87.034,0.139,3.850,4.511,0.22,65796.,6000
170,34.9,0.68,0.6664,0.1056,0.1082,0.111,1.166,0.795,82.803,0.132,3.536,4.354,0.22,66059.,6000
171,36.7,0.72,0.6755,0.0961,0.1022,0.105,1.101,0.723,78.171,0.124,3.215,4.193,0.22,66335.,6000
172,38.6,0.75,0.6810,0.0862,0.0955,0.098,1.029,0.649,73.082,0.116,2.885,4.026,0.22,66623.,6000
173,40.4,0.79,0.6820,0.0762,0.0883,0.091,0.952,0.573,67.553,0.108,2.550,3.849,0.22,66925.,6000
174,42.3,0.83,0.6997,0.0664,0.0784,0.080,0.845,0.500,60.017,0.096,2.223,3.777,0.22,67239.,6000
175,44.1,0.86,0.6878,0.0559,0.0701,0.072,0.756,0.421,53.652,0.085,1.872,3.558,0.22,67565.,6000
176,45.9,0.90,0.6630,0.0452,0.0613,0.063,0.660,0.340,46.872,0.075,1.513,3.293,0.22,67904.,6000
177,47.8,0.93,0.6166,0.0343,0.0519,0.053,0.559,0.258,39.709,0.063,1.147,2.944,0.22,68254.,6000
178,49.6,0.97,0.5301,0.0230,0.0421,0.043,0.454,0.173,32.207,0.051,0.770,2.438,0.22,68617.,6000
